year,inflation_index
2006,105.55231771564111
2007,110.23033519318241
2008,124.51975067206095
2009,106.82796410187913
2010,107.99647234613481
2011,116.5872113773831
2012,102.76844236540947
2013,106.61806689390083
2014,107.53424729775884
2015,106.5033183899339
2016,100.38883829689588
2017,103.17530986379924
2018,101.54266145238435
2019,101.13
2020,106.32255417140331
2021,111.90503981851454
2022,113.92290931741762
2023,110.79900823255582
2024,105.02050907853749
