year,avg_usd_kgs
2010,45.98835761772853
2011,46.13591753424657
2012,47.00501038251366
2013,48.43856997245179
2014,53.66281534246575
2015,64.47968493150685
2016,69.90179699453552
2017,68.86562246575342
2018,68.84271178082192
2019,69.78952794520548
2020,77.36163278688524
2021,84.63992547945205
2022,84.12528465753425
2023,87.8605210958904
2024,87.14241147540983
2025,87.35904602739727
2026,87.4452768707483
